2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,
Kansas,23.65358344,Kentucky,29.5916896,Louisville,25.14265146,Indiana,25.44025343,Kentucky,25.4100968,Ohio St.,26.48802111,Duke,26.60921878,North Carolina,26.8715279,Kansas,28.29280744,North Carolina,27.62565458
Michigan St.,23.19914341,Wisconsin,24.85308174,Arizona,23.76682444,Louisville,25.31584766,Ohio St.,24.63798556,Duke,25.08546872,Kansas,26.34858847,UConn,23.3161847,North Carolina,25.2605122,Florida,25.11083503
West Virginia,22.30337588,Arizona,24.64688684,Florida,21.11843881,Florida,24.23369888,Kansas,22.40911368,Kansas,24.66272113,Syracuse,23.03107706,Pittsburgh,22.50237479,Memphis,24.96447606,Kansas,24.02454673
North Carolina,22.11190402,Duke,24.33190457,Kansas,20.79188366,Duke,21.93963,Michigan St.,22.05064193,Pittsburgh,21.42577268,Kentucky,22.44740396,Memphis,22.38273414,UCLA,23.32813683,Ohio St.,22.86322939
Villanova,21.91290471,Virginia,23.07023148,Wisconsin,20.1152559,Michigan,21.80615736,North Carolina,22.02032713,Texas,21.4087358,Kansas St.,21.11887494,Louisville,22.29675368,Duke,23.01214815,Texas A&M,22.7146589
Louisville,21.63332922,Villanova,22.90716206,Duke,20.01822606,Kansas,21.31411375,Syracuse,21.80872055,Kentucky,20.82061308,Ohio St.,20.59093334,Duke,21.36768685,Wisconsin,20.95981884,UCLA,22.12158668
Virginia,21.23472483,Utah,21.43637784,Oklahoma St.,19.54340191,Gonzaga,21.05961792,Missouri,20.45130223,Washington,20.69008922,West Virginia,20.47858925,Missouri,21.16806098,Louisville,20.2283618,Georgetown,20.86625708
Duke,20.81609729,Gonzaga,21.33082057,Villanova,19.41017856,Syracuse,20.80982599,Wisconsin,19.73983767,Purdue,20.02410314,Texas,20.00412518,UCLA,20.10840184,Georgetown,20.0086048,Memphis,20.8452962
Oklahoma,20.58445439,North Carolina,21.32352515,Michigan St.,19.24373088,Ohio St.,20.7449045,Indiana,19.31589898,Syracuse,19.4625692,BYU,19.97115142,Gonzaga,20.0019708,Tennessee,19.70288621,Wisconsin,20.56563624
Miami (FL),20.14679642,Ohio St.,20.88407454,Michigan,19.09298078,Pittsburgh,19.38625547,Florida,18.93787143,North Carolina,19.45006779,Baylor,19.3462364,West Virginia,19.91638619,Texas,19.67568057,Maryland,20.20527839
Purdue,20.04783145,Oklahoma,19.95098905,Iowa St.,19.0805988,Wisconsin,19.27926429,Wichita St.,18.09981709,Wisconsin,19.40239994,Wisconsin,19.23016649,Kansas,19.67923847,Marquette,19.37514046,Duke,20.1571536
Indiana,19.98950088,Kansas,19.71434877,Virginia,18.88161324,Michigan St.,19.17141925,Duke,17.73333393,BYU,19.2223995,Maryland,19.22721167,Oklahoma,19.38230853,West Virginia,19.22310254,Kentucky,18.41408813
Kentucky,19.6409759,Baylor,19.35852784,UCLA,18.8349451,Arizona,17.79115263,Marquette,17.6277322,Louisville,19.19734515,Missouri,18.81090937,Michigan St.,18.97884237,Clemson,18.62257813,Pittsburgh,18.20476288
Xavier,19.56783307,Iowa St.,19.2075087,Creighton,18.51828612,Miami (FL),17.47761573,Memphis,17.53664349,Notre Dame,18.77945001,Purdue,18.5609383,Villanova,18.85488319,Xavier,18.40744616,Notre Dame,18.1438629
SMU,19.24612016,Louisville,19.06722302,Kentucky,18.46476313,Minnesota,17.39826133,Georgetown,17.4976079,San Diego St.,18.6318457,California,18.40588859,Syracuse,18.66743415,Stanford,17.92287607,Indiana,18.12572215
Arizona,19.22253686,Notre Dame,18.83727885,Iowa,18.30518518,VCU,17.38770244,Baylor,17.22571444,UConn,18.55650346,Georgetown,18.36784081,Washington,18.44053146,Washington St.,17.90340555,Georgia Tech,17.9693263
Vanderbilt,19.06472513,Michigan St.,17.34378504,Ohio St.,18.29454467,Creighton,16.99766419,Louisville,16.87967303,Illinois,17.37317762,Villanova,18.00639427,Arizona St.,18.14927483,Texas A&M,17.8101639,Michigan St.,17.63185974
Iowa,18.43319234,Texas,17.2547507,Pittsburgh,17.98543843,Georgetown,16.34373548,Vanderbilt,16.39437998,Arizona,17.09059453,Xavier,17.49359577,Purdue,17.64795232,Michigan St.,17.67798801,Arizona,17.48721387
Texas A&M,18.42961323,Butler,17.08722476,Tennessee,17.74630324,Oklahoma St.,16.08799108,New Mexico,16.33072849,West Virginia,16.78352802,Clemson,17.40985179,Wake Forest,17.13257864,Kansas St.,17.40977372,Texas,17.41673341
Maryland,18.00047477,West Virginia,16.83346457,UConn,17.67078692,Missouri,15.82459597,Saint Louis,15.83155208,Florida,16.77365278,Washington,17.40058701,Clemson,16.90159957,Indiana,17.06520879,Villanova,17.36637267
Iowa St.,17.80110095,Iowa,16.47626183,Wichita St.,17.08674906,Baylor,15.59456787,Florida St.,15.21734376,Cincinnati,16.0513224,Tennessee,17.38552577,Marquette,16.84987366,Pittsburgh,16.85289394,Louisville,17.33409516
Wichita St.,17.65067058,Georgetown,16.39926051,Syracuse,16.57088592,Wichita St.,15.21871966,Kansas St.,15.15170323,Marquette,15.8004706,Michigan St.,17.00778413,BYU,16.5469573,Notre Dame,16.78260484,Oregon,17.24171282
Utah,17.5359509,Xavier,15.39682924,Baylor,16.32402305,St. Mary's (CA),15.08977563,Texas,14.68339487,Villanova,15.65086503,Minnesota,16.96712637,Texas,16.13939648,UConn,16.66622541,Clemson,16.63300362
California,17.06578825,Wichita St.,15.36407784,Oregon,16.1629992,Iowa St.,15.01212567,Purdue,14.55598822,Vanderbilt,15.5792347,Marquette,16.95959064,Georgetown,15.72376106,Arizona,16.13608774,Mississippi St.,16.51427777
Oregon,17.05141862,Arkansas,14.79532776,North Carolina,16.05134981,North Carolina,14.99539275,Gonzaga,14.54597256,Maryland,15.57577599,Texas A&M,16.93759248,Xavier,15.70020308,Gonzaga,16.00969486,Air Force,16.38478762
Baylor,16.80984753,North Carolina St.,14.75616617,Gonzaga,15.93187327,Cincinnati,14.96595124,California,14.47676908,Missouri,15.43209501,Vanderbilt,16.56740896,Illinois,15.67331263,Davidson,15.53844702,Tennessee,16.23617801
