tournament_year,round_64,round_32,sweet_16,elite_8,final_4,championship_game,champion
2013,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville
2013,Kansas,Colorado State,Oregon,Duke,Wichita State,Michigan,
2013,Indiana,Oregon,Michigan State,Wichita State,Michigan,,
2013,Gonzaga,Saint Louis,Duke,Ohio State,Syracuse,,
2013,Miami (Fla.),Memphis,Wichita State,Michigan,,,
2013,Duke,Michigan State,La Salle,Florida,,,
2013,Georgetown,Creighton,Arizona,Syracuse,,,
2013,Ohio State,Duke,Ohio State,Marquette,,,
2013,New Mexico,Gonzaga,Kansas,,,,
2013,Florida,Wichita State,Michigan,,,,
2013,Michigan State,Mississippi,Florida,,,,
2013,Marquette,La Salle,Florida Gulf Coast,,,,
2013,Michigan,Arizona,Indiana,,,,
2013,Kansas State,Harvard,Syracuse,,,,
2013,Saint Louis,Iowa State,Marquette,,,,
2013,Syracuse,Ohio State,Miami (FL),,,,
2013,Oklahoma State,Kansas,,,,,
2013,UNLV,North Carolina,,,,,
2013,Wisconsin,VCU,,,,,
2013,VCU,Michigan,,,,,
2013,Arizona,Minnesota,,,,,
2013,Butler,Florida,,,,,
2013,Memphis,San Diego State,,,,,
2013,UCLA,Florida Gulf Coast,,,,,
2013,Creighton,Indiana,,,,,
2013,San Diego State,Temple,,,,,
2013,Notre Dame,California,,,,,
2013,Illinois,Syracuse,,,,,
2013,North Carolina,Butler,,,,,
2013,Colorado State,Marquette,,,,,
2013,Pittsburgh,Illinois,,,,,
2013,NC State,Miami (FL),,,,,
2013,Missouri,,,,,,
2013,Temple,,,,,,
2013,Wichita State,,,,,,
2013,Colorado,,,,,,
2013,Cincinnati,,,,,,
2013,Villanova,,,,,,
2013,Iowa State,,,,,,
2013,Oklahoma,,,,,,
2013,Minnesota,,,,,,
2013,California,,,,,,
2013,Oregon,,,,,,
2013,Belmont,,,,,,
2013,St. Mary's (Calif.),,,,,,
2013,Bucknell,,,,,,
2013,La Salle,,,,,,
2013,Akron,,,,,,
2013,New Mexico State,,,,,,
2013,South Dakota State,,,,,,
2013,Montana,,,,,,
2013,Davidson,,,,,,
2013,Valparaiso,,,,,,
2013,Northwestern State,,,,,,
2013,Harvard,,,,,,
2013,Florida Gulf Coast,,,,,,
2013,Pacific,,,,,,
2013,Iona,,,,,,
2013,Albany (NY),,,,,,
2013,Western Kentucky,,,,,,
2013,Southern,,,,,,
2013,LIU Brooklyn,,,,,,
2013,James Madison,,,,,,
2013,N.C. A&T,,,,,,
